identifier,title,creator,year,language,publisher,subjects,sets,types,rights
oai:www.e-rara.ch:3270999,Tableau synchronistique des terrains tertiaires de l'Europe,"Mayer-Eymar, Karl",1865,fre,[Verlag nicht ermittelbar],"['EUROPA', 'SCHWEIZER ALPEN', 'STRATIGRAPHISCHE KORRELATION', 'TERTIÄR (STRATIGRAPHIE)']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'privlib', 'pboheer']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3271441,Révision de la faune malacologique des Canaries,"Mousson, Albert",1873,fre,[Zürcher und Furrer],,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3276990,Mémoire géologique sur la perte du Rhône et ses environs,"Renevier, Eugène",1855,fre,Druck von Zürcher & Furrer,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3280596,Mathematische Mittheilungen,"Raabe, Joseph Ludwig","['1857', '1858']",ger,Meyer & Zeller,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3280770,Joh. Caspar Horner nach seinem Leben und Wirken,"Escher, Heinrich",1834,ger,Schulthess,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3292386,Die  Schweiz in Bildern,"Ulrich, Johann Jakob",1856,ger,Ulrich,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3379132,"Lucerne et ses environs : suivi d'un itinéraire au Mont-Righi et autour du Lac des Quatre Cantons orné de plans, vues et d'une carte détaillée du lac et de ses environs les plus intéressants",Buesinger,1821,fre,Meyer,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3429371,Ueber die Gleichgewichtsbedingungen von Erdmassen,"Culmann, Carl",1856,ger,Zürcher & Furrer,"['RUHEDRUCK + AKTIVER ERDDRUCK (BODENMECHANIK)', 'STATIK/KRÄFTE, GLEICHGEWICHT, ANZIEHUNG (MECHANIK)']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3478352,Vorlesungen über Ingenieurkunde,"Culmann, Carl",1872,ger,[Verlag nicht ermittelbar],Tiefbau,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3486529,"Bestand und Geist des eidgenössischen Kriegswesens, wie sie seyn sollten","Tavel, Ludwig Karl von",1821,ger,[Verlag nicht ermittelbar],,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3544391,Die  Urwelt der Schweiz,"Heer, Oswald",1865,ger,Schulthess,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3597162,Description des echinodermes fossiles de la Suisse,"Agassiz, Louis","['1839', '1840']",ger,Jent & Gassmann,"['ECHINODERMATA (PALÄOZOOLOGIE)', 'SCHWEIZ (MITTELEUROPA). SCHWEIZERISCHE EIDGENOSSENSCHAFT']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3597773,Biographien zur Kulturgeschichte der Schweiz,"Wolf, Rudolf","['1858', '1862']",ger,"Orell, Füssli & Comp.","['BIOGRAPHIEN (LEBEN UND WERK)', 'KUPFERSTICHE + STAHLSTICHE (GRAFIK)', 'NATURWISSENSCHAFTEN UND MATHEMATIK', 'NATURWISSENSCHAFTSGESCHICHTE', 'PORTRAITS (DOKUMENTENTYP)', 'SCHWEIZ (MITTELEUROPA). SCHWEIZERISCHE EIDGENOSSENSCHAFT', '""1488/1852""']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3597775,Biographien zur Kulturgeschichte der Schweiz / 1 Biographien zur Kulturgeschichte der Schweiz. 1. Cyclus,"Wolf, Rudolf",1858,ger,Orell Füssli,"['BIOGRAPHIEN (LEBEN UND WERK)', 'WISSENSCHAFTSGESCHICHTE']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3598273,Biographien zur Kulturgeschichte der Schweiz / 2 Biographien zur Kulturgeschichte der Schweiz. 2. Cyclus,"Wolf, Rudolf",1859,ger,Orell Füssli,"['BIOGRAPHIEN (LEBEN UND WERK)', 'WISSENSCHAFTSGESCHICHTE']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3598759,Biographien zur Kulturgeschichte der Schweiz / 3 Biographien zur Kulturgeschichte der Schweiz. 3. Cyclus,"Wolf, Rudolf",1860,ger,Orell Füssli,"['BIOGRAPHIEN (LEBEN UND WERK)', 'WISSENSCHAFTSGESCHICHTE']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3599225,Biographien zur Kulturgeschichte der Schweiz / 4 Biographien zur Kulturgeschichte der Schweiz. 4. Cyclus,"Wolf, Rudolf",1862,ger,Orell Füssli,"['BIOGRAPHIEN (LEBEN UND WERK)', 'WISSENSCHAFTSGESCHICHTE']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3599720,Geschichte der Vermessungen in der Schweiz,"Wolf, Rudolf",1879,ger,Commission von S. Höhr,"['Kartographie', 'Landesaufnahme', 'Vermessung', 'GEODÄSIE + PHOTOGRAMMETRIE + KARTOGRAPHIE + REMOTE SENSING', 'GESCHICHTE DER GEODÄSIE', 'SCHWEIZ (MITTELEUROPA). SCHWEIZERISCHE EIDGENOSSENSCHAFT']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3613221,Ueber Baustyle : ein Vortrag gehalten auf dem Rathhaus in Zürich am 4.März 1869,"Semper, Gottfried",1869,ger,Schulthess,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3614477,"Handbuch der Astronomie, ihrer Geschichte und Litteratur","Wolf, Rudolf","['1890', '1893']",ger,Schulthess,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3629635,"Handbuch der Mathematik, Physik, Geodäsie und Astronomie","Wolf, Rudolf","['1869', '1872']",ger,Schulthess,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3630610,Entwicklungsgeschichte der Cephalopoden,"Kölliker, Albert von",1844,ger,Meyer und Zeller,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3630818,"Naturgetreue Abbildungen und ausführliche Beschreibungen aller in- und ausländischen Gewächse, welche die wichtigsten Producte für Handel und Industrie liefern, als naturgeschichtliche Begründung der merkantilischen Warenkunde","Eichelberg, Johann Friedrich Andreas",1845,ger,Meyer und Zeller,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3635453,Flora Helvetica sive historia stirpium hucusque cognitarum in Helvetia et in tractibus conterminis aut sponte nascentium aut in hominis animaliumque usus vulgo cultarum continuata,"Gaudin, Jean","['1828', '1833']",lat,"sumptibus Orellii, Fuesslini et Sociorum",,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3680953,Etudes critiques sur les mollusques fossiles,"Agassiz, Louis","['1840', '1845']",fre,Imprimerie de Petitpierre,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3682884,Das  Schweizerische Polytechnikum : historische Skizze zur Feier des 25jährigen Jubiläums [im Juli 1880],"Wolf, Rudolf",1880,ger,Orell Füssli & Co.,"['HOCHSCHULGESCHICHTE (HOCHSCHULWESEN)', 'HOCHSCHULPOLITIK (HOCHSCHULWESEN)', 'JUBILÄUMSSCHRIFTEN VON KÖRPERSCHAFTEN (DOKUMENTENTYP)', 'SCHWEIZ (MITTELEUROPA). SCHWEIZERISCHE EIDGENOSSENSCHAFT', '""1855/1880""', 'Eidgenössisches Polytechnicum']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3727174,Recherches sur les poissons fossiles : une introduction à l'étude de ces animaux ...,"Agassiz, Louis","['1833', '1845']",fre,Imprimerie de Petitpierre et Prince,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3801424,Etudes critiques sur les mollusques fossiles,"Agassiz, Louis","['1842', '1845']",fre,imprimerie de H. Wolfrath,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3827074,Ueber die formelle Gesetzmässigkeit des Schmuckes und dessen Bedeutung als Kunstsymbol,"Semper, Gottfried",1856,ger,Verlag von Meyer & Zeller,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3827112,Ueber die alten Glasgemälde der Schweiz : ein Versuch,"Lübke, Wilhelm",1866,ger,Verlag der Schabelitz'schen Buchhandlung,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3827176,"Die  farbigen Schatten, ihr Entstehen und Gesetz : Vorlesung, gehalten in der naturforschenden Gesellschaft zu Aarau, den 10. Januar 1826","Zschokke, Heinrich",1826,ger,bei Heinrich Remigius Sauerländer,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3891660,Fabeln und Bilder,"Meyer, Johann H.",1841,ger,bei Friedrich Schulthess,"Meyer, Johann H1802-1877","['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3891757,"Der  Tante Mährchenbuch, oder, Abendunterhaltungen für die weibliche Jugend","Ronus, Susanna",1833,ger,Steiner,"['Disteli, Martin1802-1844', 'Meyer, Johann Heinrich1755-1829']","['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3892707,Fünfzig Sylben-Räthsel aus der Naturgeschichte,"Corrodi, Wilhelm",1844,ger,bei Friedrich Schulthess,"['Deutsch', 'Rätsel', 'Meyer, Johann H1802-1877']","['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3892823,Blumenleben : Kinderlieder im Dialekt und in der Schriftsprache,"Bänninger, Johann Jakob",1868,ger,Druck und Verlag von Bleuler-Hausheer & Co.,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3892897,Biblische Bilder und Geschichten : neues Testament,[s.n.],1880,ger,Verlag von C. F. Spittler,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3893201,Kleines Erzählungsbuch für Knaben und Mädchen,"Glatz, Jakob",1814,ger,bey H[einrich] R[emigius] Sauerländer,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3893446,"Kindestreu : ein Kranz von Erzählungen, als Geschenk für heranwachsende Mädchen gebildeter Eltern","Foa, Eugénie",1841,ger,Druck und Verlag von J.J. Christen,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3893633,Naturgeschichte der Thiere : mit naturgetreuen Abbildungen in lithographischem Buntdruck : nach den vorzüglichsten Originalen bearbeitet für die reifere Jugend,"Relsserd, Prof",1850,ger,"Lithographie, Druck und Verlag von H. Müller-Schmid",,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3894092,"Marie und Flora, oder, Heiter und ernst","Tytler, Ann Fraser",1842,ger,Druck und Verlag der Schweighauser'schen Buchhandlung,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3894339,"Ali und Ala, oder: Die kleinen Insulaner : Versuch einer wahrscheinlichen Kulturgeschichte für die Jugend","Tobler, Johann Georg",1821,ger,"bey Orell, Füssli und Compagnie",,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3895034,Leila dans la maison paternelle : suite de Laila dans l'ile déserte et de Leila en Angleterre,"Tytler, Ann Fraser",1853,fre,Georges Bridel,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3895379,Biblische Bilder und Geschichten : Altes Testament,[s.n.],1871,ger,Verlag von C. F. Spittler,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3942101,Friedrich Meisners Alpenreise mit seinen Zöglingen : für die Jugend beschrieben,"Meisner, Friedrich",1801,ger,Emanuel Haller,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3942338,Abenteuer des berühmten Freiherrn von Münchhausen : mit 16 radirten Blättern von M[artin] Disteli,"Bürger, Gottfried August",1841,ger,Verlag von Jent & Gassmann,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3942446,"Der  Findling : eine lehrreiche, rührende Erzählung für die liebe Schuljugend zum Prüfungsgeschenk. Das Häubchen : eine lehrreiche, rührende Erzählung für die liebe Schuljugend zum Prüfungsgeschenk",[s.n.],1838,ger,Druck und Verlag von Gebrüdern Räber,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3943198,Kinder- und Hausmärchen aus der Schweiz,"Sutermeister, Otto",1869,ger,Druck und Verlag von H.R. Sauerländer,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3943417,"Die  Jugendfeste : Freundesgabe auf das Jahr 1838 [Bd 2: 1840] für die Jugend, ihre Eltern, Lehrer und Freunde","Sprüngli, Johann Jakob","['1838', '1840']",ger,Druck und Verlag von Fr. Schulthess,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3944100,Schweizerische Erzählungen,"Meister, Leonhard",1826,ger,J. C. Müller,"Schellenberg, Johann Rudolf1740-1806","['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3944367,Petit manuel amusant et instructif pour les enfans,[s.n.],1828,fre,Barbezat et Delarue,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3944529,"Abrégé de l'histoire du moyen âge en dialogues, à l'usage de la jeunesse","Monney, François-Louis",1828,fre,Chez les principaux libraires,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3952837,Lectures pour les enfants de cinq à huit ans,"Chavannes, Herminie",1843,fre,chez Mmes V. Béroud & S. Guers,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3960616,Berndeutsche Verschen und Lieder : zum Auswendiglernen und Vorlesen : für Kinder von 3 bis 8 Jahren,"Haller, Franz",1847,ger,Druck und Verlag der Haller'schen Buchdruckerei,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3975016,"Der  Kinderfreund, oder, Erster Unterricht im Lesen, und bey dem Lesen","Rochow, Friedrich Eberhard von",1811,ger,bey Ziegler und Söhnen,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3975125,Le  lecteur des écoles : récits familiers pour développer la moralité des enfants,"Abbott, Jacob",1845,fre,Ch. Gruaz,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3990884,Biblische Erzählungen für die Jugend : neues Testament,"Hess, Johann Jakob",1774,ger,"bey Orell, Gessner, Füesslin und Comp.",,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:3994914,Die  Wunder der Natur,"Jauffret, Louis-François",1821,ger,Trachsler'sche Buchhandlung,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4020498,Agathon oder der Führer durchs Leben : für denkende Jünglinge,"Scheitlin, Peter",1842,ger,Scheitlin u. Zollikofer,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4021133,Histoire suisse racontée à mes jeunes amis pour servir de continuation aux histoires racontées par [Jules Raymond] Lamé Fleury : par un véritable ami de la jeunesse [i.e. Georges Favey] : utile si je puis : ouvrage recommandé par le Conseil de l'Instruction publique du Canton de Vaud,"Favey, Georges",1856,fre,"au Dépôt Bibliographique de J. Chantrens, successeur de B[enjamin] Corbaz",,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4021378,"Der  Schweizerische Robinson, oder, der schiffbrüchige Schweizer-Prediger und seine Familie : ein lehrreiches Buch für Kinder und Kinder-Freunde zu Stadt und Land","Wyss, Johann Rudolf","['1821', '1827']",ger,"Orell, Füssli und Compagnie",,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4066025,Poesieen u. Bilder für alle lieben Kinder,"Benajah, J. J.",1848,ger,Verlag von J. F. Schalch,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4102088,Un  souvenir de Solferino,"Dunant, Henry",1863,fre,J.-G. Fick,Bataille de Solferino (1859),"['gep_r', 'book', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4128940,"Schulbriefe aus den Bergkantonen, nebst einer Anleitung zum Briefschreiben","Tanner, Konrad",1813,ger,Benziger und Eberle,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4247669,Der  Tante Sophie ABC : 25 Lichtdruckbilder nach Originalzeichnungen,"Schäppi, Sophie",1893,ger,Huber,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4247732,Der  Tante Sophie Bilderbuch,"Schäppi, Sophie",1885,ger,[Moritz Kieschke],,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4247788,Die  Beatushöhle : eine lehrreiche Erzählung für die reifere Jugend : mit einem Titelkupfer,"Bauberger, Wilhelm",1836,ger,[Verlag der Vereinsbuchhandlung?],,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4248163,Neue Reisebilder : in anziehenden Gemälden und Skizzen : für die reifere Jugend bearbeitet : mit 8 kolorirten Bildern,"Fels, J. G.",1851,ger,Grubenmann'sche Buchhandlung,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4248941,Soirées de famille : ouvrage destiné aux enfans de neuf à douze ans,"Chavannes, Herminie","['1837', '1839']",fre,Guers,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4249502,Was brauchen die Handwerksleute? : Griffelzeichnungen für fleissige Kinder,[s.n.],1850,ger,Egli und Steiner,,"['sikjm', 'journal', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Bilderbuch']",pdm
oai:www.e-rara.ch:4269735,"J. Staub's Bilderwerk zum Anschauungsunterricht für jüngere Kinder : Ein Buch für Haus und Schule : Vier Hefte mit 48 Doppeltafeln in Farbendruck und einem Anhang von Liedern, Erzählungen und Beschreibungen","Staub, Johann",1885,ger,"Druck und Verlag von Caspar Knüsli, Lithographische Kunstanstalt",,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4270036,Waldleben : [Prosa u. Dichtung],"Corrodi, August",1856,ger,J. Tschudi,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4283002,Das  gute Kind in seinem Betragen gegen seine Lehrer : der lieben Schuljugend in Herisau gewiedmet,"Walser, Johann Jakob",18uu,ger,gedruckt bey Franz Brentano,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4283033,Neues ABC und Bilderbuch für die Jugend,[s.n.],1871,ger,J. Oppliger,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4304132,Die  Missionskinder : ein Weihnachts- & Neujahrsgeschenk,"Linder, Johann","['1841', '1842']",ger,F. Schneider,"['Deutsch', 'Mission', 'Erzählung']","['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4304730,Marie Rosa oder die Hütte im Walliserland : historisch-romantische Erzählung aus des römischen Kaisers Karls VI Tagen,[s.n.],1844,ger,Druck und Verlag der Keller'schen Buchdruckerei,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4324000,"Rundgemälde : neue Reisebilder, Natur- und Völkergemälde aus allen Erdtheilen","Fels, J. G.",1861,ger,Verlag der Grubenmann'schen Buchhandlung (Fr. Gsell),,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4324414,"Aus dem Institut ins Leben, oder Mädchenträume und Wirklichkeit","Gsell-Fels, Luise",1861,ger,Verlag von Scheitlin und Zollikofer,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4324625,Le  véritable ami des enfants,"Malan, César",1832,fre,"chez Me Susanne Guers, libraire",,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4354751,Kinderfreuden : Festgabe für die Schülerinnen und ihre Freunde zur freundlichen Erinnerung an die Einweihung des neues Töchterschul-Gebäudes in Zürich am 7. April 1853,[s.n.],1853,ger,"Orell, Füssli und Comp.",,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4354795,Schaffhauserische Kindergeschichten : auf das Neujahr 1837,"Schalch, Johann Jakob",1837,ger,Hurter'sche Buchhandlung,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4378989,Auswahl moralischer und lehrreicher Erzählungen für die Jugend,"Schmid, Christoph von",1828,ger,Johann Martin Anich,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4379266,Die  Schulreise : eine gekrönte Preisschrift für die Jugend,"Meyer, Konrad",1857,ger,J. J. Ulrich,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4414219,Mis Chindli : ein Liederkranz für junge Mütter,"Haemmerli-Marti, Sophie",1896,ger,Karl Henckell & Co.,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4414330,Kleines Bilderbuch für Kinder,[s.n.],1830,ger,Studer,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4414368,Klein-Edelweiss im Schweizerland : eine Geschichte in Bildern für die lieben Kinder,"Goetz, Margarete",1892,ger,Hofer,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4414410,Vorschule der Erdkunde und Weltgeschichte : oder Schlözers Vorbereitung zur Weltgeschichte für Kinder,"Roeder, Georg Wilhelm",1831,ger,Druck und Verlag von Simeon Benedict,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4414568,"Arm und verwaist! : eine Geschichte in Bildern, für die lieben Kinder","Goetz, Margarete",1894,ger,Hofer & Burger,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4415116,"Catechismus, das ist Unterricht in der wahren Christlichen Religion durch Fragen und Antworten : sammt den Zertheilungen einer jeden Antwort und den Zeugnissen der heiligen Schrift : eingetheilt in XLVIII Sonntage durch das ganze Jahr : für die Jugend der Stadt und Landschaft Zürich",[s.n.],1809,ger,gedruckt bey David Gessner,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4444526,Die  Einsiedlerinn aus den Alpen,"Ehrmann, Marianne",1794,ger,"bei Orell, Gessner, Füssli & Co.",,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4445146,Himmelblau : Lieder und Bilder für die Kinderwelt,"Nisle, Julius",1850,ger,Grubenmann,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:4445208,Kurze Reisebeschreibung in die drey Urkantone : ein Geschenk für die Schweizerische Schuljugend auf das Jahr 1828 ; mit einem Titelkupfer,"Rietschi, Nicolaus",1828,ger,bey Johann Martin Anich,,"['sikjm', 'book', 'collections', 'sikjmc', 'ch', 'ch19']","['Text', 'Book']",pdm
