identifier,title,creator,year,language,publisher,subjects,sets,types,rights
oai:www.e-rara.ch:962258,Nouvelle méthode pour l'enseignement de la sphère,"Masset, L.",1850,fre,Blanchard,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:984491,Archit. Studien des Bauschülervereins u. Architektura,Architektura,1880,ger,s. n.,"['ARCHITEKTURZEICHNUNGEN + ARCHITEKTONISCHE VORARBEITEN', '""1880/1881""']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1002756,"Allgemeine Experimental-Physik : vorgetragen am eidgenössischen Polytechnikum, 1855/56","Mousson, Albert",1856,ger,[Verlag nicht ermittelbar],"['LEHRBÜCHER (DOKUMENTENTYP)', 'PHYSIK']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1018128,Die  mathematischen Verhältnisse der Kreislinie,"Escher, Hans Heinrich",1860,ger,Druck von Zürcher und Furrer,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1028179,Über die Darstellung der mittlern Jahrestemperatur eines Ortes als Function seiner geographischen Länge und Breite,"Schoch, Wilhelm",1856,ger,F. Waider & Sohn,"['GEOGRAFISCHE BREITEN', 'LUFTTEMPERATUR (METEOROLOGIE)', 'MERIDIANE (GEOGRAFIE)', 'NEUNZEHNTES JAHRHUNDERT N. CHR']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1028280,Ueber den Ozongehalt der Luft und seinen Zusammenhang mit der Mortalität : Vorträge gehalten in der bernischen naturforschenden Gesellschaft,"Wolf, Rudolf",1855,ger,Huber,"['OZON (UMWELTSCHADSTOFFE)', 'OZONSCHICHT, ATMOSPHÄRE (METEOROLOGIE)']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1028311,Neue Beobachtungen und Bemerkungen über den Ozongehalt der Luft : vorgelegt den 31. Mai 1856,"Wolf, Rudolf",1856,ger,[Verlag nicht ermittelbar],"['NEUNZEHNTES JAHRHUNDERT N. CHR', 'OZONSCHICHT, ATMOSPHÄRE (METEOROLOGIE)']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1074471,Taschenbuch für Mathematik und Physik,"Wolf, Rudolf",1852,ger,Hallersche Buchdruckerei,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1074637,"Die  Lehre von den geradlinigen Gebilden in der Ebene : ein Versuch einer systematisch-elementarischen Entwicklung der sogenannten Planimetrie, Goniometrie und Trigometrie, der Anfangsgründe der analytischen Geometrie etc","Wolf, Rudolf",1847,ger,Verlag von Huber und Comp.,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1139132,"Ueber das Wesen der Wärme, verglichen mit Licht und Schall : ein populärer Vortrag gehalten zu Zürich den 12. Februar 1857","Clausius, Rudolf Julius Emanuel",1857,ger,Meyer & Zeller,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
